"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2021","1.3624","1.3572","1.3642","1.3554","155.21K","0.41%"
"01/04/2021","1.3569","1.3665","1.3705","1.3541","131.65K","-0.75%"
"01/01/2021","1.3671","1.3672","1.3683","1.3672","1.45K","-0.01%"
"12/31/2020","1.3673","1.3624","1.3687","1.3605","152.23K","0.37%"
"12/30/2020","1.3622","1.3503","1.3627","1.3493","147.18K","0.90%"
"12/29/2020","1.3500","1.3450","1.3524","1.3447","133.09K","0.38%"
"12/28/2020","1.3449","1.3546","1.3577","1.3429","105.94K","-0.73%"
"12/25/2020","1.3548","1.3557","1.3591","1.3550","1.47K","-0.05%"
"12/24/2020","1.3555","1.3496","1.3621","1.3489","158.47K","0.47%"
"12/23/2020","1.3492","1.3362","1.3572","1.3352","173.43K","0.99%"
"12/22/2020","1.3360","1.3465","1.3470","1.3304","170.81K","-0.77%"
"12/21/2020","1.3463","1.3475","1.3498","1.3189","169.70K","-0.42%"
"12/18/2020","1.3520","1.3586","1.3592","1.3471","158.84K","-0.46%"
"12/17/2020","1.3582","1.3510","1.3626","1.3494","155.89K","0.56%"
"12/16/2020","1.3507","1.3460","1.3554","1.3434","145.02K","0.34%"
"12/15/2020","1.3461","1.3323","1.3470","1.3280","121.99K","1.04%"
"12/14/2020","1.3322","1.3281","1.3447","1.3274","108.70K","0.75%"
"12/11/2020","1.3223","1.3296","1.3326","1.3134","138.47K","-0.53%"
"12/10/2020","1.3293","1.3403","1.3414","1.3246","138.53K","-0.77%"
"12/09/2020","1.3396","1.3355","1.3478","1.3350","119.72K","0.32%"
"12/08/2020","1.3353","1.3378","1.3393","1.3290","137.79K","-0.17%"
"12/07/2020","1.3376","1.3449","1.3449","1.3225","134.39K","-0.45%"
"12/04/2020","1.3437","1.3447","1.3541","1.3411","150.70K","-0.11%"
"12/03/2020","1.3452","1.3361","1.3500","1.3353","164.97K","0.67%"
"12/02/2020","1.3363","1.3423","1.3442","1.3287","143.83K","-0.39%"
"12/01/2020","1.3415","1.3325","1.3442","1.3314","136.38K","0.71%"
"11/30/2020","1.3321","1.3314","1.3386","1.3304","133.82K","0.05%"
"11/27/2020","1.3314","1.3356","1.3383","1.3288","147.76K","-0.31%"
"11/26/2020","1.3355","1.3376","1.3399","1.3321","130.46K","-0.20%"
"11/25/2020","1.3382","1.3362","1.3395","1.3304","149.75K","0.19%"
"11/24/2020","1.3356","1.3325","1.3382","1.3292","140.77K","0.25%"
"11/23/2020","1.3323","1.3274","1.3398","1.3263","144.15K","0.31%"
"11/20/2020","1.3282","1.3261","1.3297","1.3245","147.76K","0.16%"
"11/19/2020","1.3261","1.3275","1.3281","1.3196","162.81K","-0.06%"
"11/18/2020","1.3269","1.3244","1.3313","1.3242","149.98K","0.21%"
"11/17/2020","1.3241","1.3195","1.3274","1.3187","156.93K","0.38%"
"11/16/2020","1.3191","1.3179","1.3243","1.3162","139.32K","0.04%"
"11/13/2020","1.3186","1.3118","1.3203","1.3109","155.61K","0.55%"
"11/12/2020","1.3114","1.3222","1.3230","1.3105","174.58K","-0.81%"
"11/11/2020","1.3221","1.3270","1.3310","1.3189","165.96K","-0.38%"
"11/10/2020","1.3271","1.3166","1.3278","1.3155","173.72K","0.82%"
"11/09/2020","1.3163","1.3163","1.3209","1.3118","161.43K","0.05%"
"11/06/2020","1.3156","1.3144","1.3178","1.3092","183.36K","0.11%"
"11/05/2020","1.3142","1.2989","1.3155","1.2930","183.38K","1.21%"
"11/04/2020","1.2985","1.3060","1.3140","1.2914","175.28K","-0.56%"
"11/03/2020","1.3058","1.2916","1.3080","1.2903","142.53K","1.13%"
"11/02/2020","1.2912","1.2946","1.2954","1.2853","135.53K","-0.22%"
"10/30/2020","1.2941","1.2929","1.2989","1.2898","172.86K","0.12%"
"10/29/2020","1.2926","1.2983","1.3027","1.2881","165.88K","-0.42%"
"10/28/2020","1.2981","1.3046","1.3065","1.2917","161.99K","-0.48%"
"10/27/2020","1.3043","1.3019","1.3081","1.3001","132.86K","0.15%"
"10/26/2020","1.3023","1.3048","1.3075","1.2993","133.77K","-0.13%"
"10/23/2020","1.3040","1.3083","1.3125","1.3018","153.93K","-0.31%"
"10/22/2020","1.3081","1.3151","1.3155","1.3069","156.37K","-0.48%"
"10/21/2020","1.3144","1.2945","1.3178","1.2937","148.80K","1.55%"
"10/20/2020","1.2944","1.2952","1.2980","1.2910","143.02K","-0.02%"
"10/19/2020","1.2947","1.2915","1.3025","1.2889","126.16K","0.26%"
"10/16/2020","1.2913","1.2916","1.2963","1.2863","128.39K","-0.01%"
"10/15/2020","1.2914","1.3010","1.3031","1.2890","139.72K","-0.75%"
"10/14/2020","1.3011","1.2938","1.3066","1.2862","137.49K","0.60%"
"10/13/2020","1.2934","1.3064","1.3074","1.2922","150.24K","-1.00%"
"10/12/2020","1.3064","1.3028","1.3084","1.3004","123.92K","0.14%"
"10/09/2020","1.3046","1.2935","1.3051","1.2920","159.03K","0.87%"
"10/08/2020","1.2933","1.2919","1.2972","1.2890","165.31K","0.12%"
"10/07/2020","1.2918","1.2886","1.2931","1.2845","162.79K","0.32%"
"10/06/2020","1.2877","1.2978","1.3008","1.2866","148.04K","-0.77%"
"10/05/2020","1.2977","1.2933","1.2991","1.2899","120.40K","0.36%"
"10/02/2020","1.2931","1.2893","1.2955","1.2837","168.56K","0.33%"
"10/01/2020","1.2889","1.2919","1.2980","1.2818","179.78K","-0.21%"
"09/30/2020","1.2916","1.2864","1.2944","1.2806","158.18K","0.43%"
"09/29/2020","1.2861","1.2836","1.2903","1.2822","146.75K","0.27%"
"09/28/2020","1.2827","1.2747","1.2927","1.2744","140.13K","0.64%"
"09/25/2020","1.2745","1.2754","1.2806","1.2687","164.10K","-0.03%"
"09/24/2020","1.2749","1.2724","1.2782","1.2689","176.37K","0.21%"
"09/23/2020","1.2722","1.2733","1.2778","1.2674","162.98K","-0.07%"
"09/22/2020","1.2731","1.2812","1.2868","1.2710","145.35K","-0.65%"
"09/21/2020","1.2814","1.2924","1.2967","1.2774","132.00K","-0.78%"
"09/18/2020","1.2915","1.2973","1.3001","1.2915","169.33K","-0.44%"
"09/17/2020","1.2972","1.2966","1.3000","1.2865","177.82K","0.05%"
"09/16/2020","1.2965","1.2889","1.3008","1.2874","134.55K","0.61%"
