"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2018","789.05","796.50","798.60","788.00","","-0.92%"
"12/20/2018","796.40","787.60","798.80","785.00","","1.10%"
"12/19/2018","787.70","792.75","799.30","785.60","","-0.66%"
"12/18/2018","792.90","793.25","795.75","786.10","","-0.03%"
"12/17/2018","793.10","787.40","798.25","782.70","","0.73%"
"12/16/2018","787.35","786.90","787.65","786.20","","0.00%"
"12/14/2018","787.35","796.70","797.50","781.30","","-1.19%"
"12/13/2018","796.80","804.60","808.60","790.70","","-0.98%"
"12/12/2018","804.65","787.25","807.50","785.40","","2.20%"
"12/11/2018","787.35","783.55","791.30","780.10","","0.46%"
"12/10/2018","783.75","792.90","795.05","778.70","","-1.18%"
"12/09/2018","793.10","794.10","795.80","793.00","","-0.15%"
"12/07/2018","794.30","789.50","796.70","785.30","","0.57%"
"12/06/2018","789.80","802.05","803.70","785.00","","-1.53%"
"12/05/2018","802.05","804.65","805.55","791.30","","-0.31%"
"12/04/2018","804.55","808.50","811.20","799.70","","-0.49%"
"12/03/2018","808.50","808.00","816.50","805.30","","0.07%"
"12/02/2018","807.90","802.10","808.50","801.70","","0.86%"
"11/30/2018","801.00","822.20","823.00","799.20","","-2.58%"
"11/29/2018","822.20","828.00","832.50","818.90","","-0.68%"
"11/28/2018","827.80","836.50","837.20","816.70","","-1.04%"
"11/27/2018","836.50","846.50","848.70","832.70","","-1.18%"
"11/26/2018","846.50","843.80","852.20","843.20","","0.32%"
"11/25/2018","843.80","842.90","844.30","842.70","","0.08%"
"11/23/2018","843.10","850.00","850.60","839.90","","-0.81%"
"11/22/2018","850.00","849.10","852.80","847.30","","0.11%"
"11/21/2018","849.10","844.30","853.30","842.30","","0.57%"
"11/20/2018","844.30","855.70","858.10","840.80","","-1.33%"
"11/19/2018","855.70","848.00","858.60","845.00","","0.91%"
"11/18/2018","848.00","849.70","849.70","846.70","","0.00%"
"11/16/2018","848.00","844.60","850.70","842.50","","0.44%"
"11/15/2018","844.30","838.30","848.60","832.70","","0.72%"
"11/14/2018","838.30","843.70","844.90","829.10","","-0.64%"
"11/13/2018","843.70","845.10","853.40","838.20","","-0.15%"
"11/12/2018","845.00","857.50","860.40","842.70","","-1.43%"
"11/11/2018","857.30","855.30","857.50","855.30","","0.20%"
"11/09/2018","855.60","867.20","867.60","854.70","","-1.34%"
"11/08/2018","867.20","876.80","878.30","865.40","","-1.12%"
"11/07/2018","877.00","873.20","881.50","869.80","","0.44%"
"11/06/2018","873.20","867.50","879.80","867.20","","0.66%"
"11/05/2018","867.50","873.60","877.00","866.00","","-0.73%"
"11/04/2018","873.90","872.10","874.40","872.10","","0.21%"
"11/02/2018","872.10","867.80","876.40","863.70","","0.50%"
"11/01/2018","867.80","841.80","867.80","841.00","","3.09%"
"10/31/2018","841.80","838.40","843.60","834.40","","0.41%"
"10/30/2018","838.40","836.60","843.40","834.60","","0.22%"
"10/29/2018","836.60","835.70","845.60","833.50","","0.11%"
"10/28/2018","835.70","837.50","837.80","835.40","","-0.04%"
"10/26/2018","836.00","829.50","838.60","825.80","","0.77%"
"10/25/2018","829.60","834.40","836.50","825.90","","-0.60%"
"10/24/2018","834.60","835.10","838.40","827.90","","-0.06%"
"10/23/2018","835.10","824.00","838.20","820.00","","1.35%"
"10/22/2018","824.00","833.80","841.60","820.80","","-1.18%"
"10/21/2018","833.80","834.00","834.30","833.20","","-0.01%"
"10/19/2018","833.90","831.50","839.90","830.40","","0.29%"
"10/18/2018","831.50","835.00","837.30","828.60","","-0.43%"
"10/17/2018","835.10","844.90","845.90","834.60","","-1.19%"
"10/16/2018","845.20","846.70","850.20","842.80","","-0.19%"
"10/15/2018","846.80","843.30","854.40","843.20","","0.42%"
"10/14/2018","843.30","842.20","844.10","841.70","","0.18%"
"10/12/2018","841.80","842.00","846.70","839.30","","-0.01%"
"10/11/2018","841.90","824.50","847.90","818.30","","2.11%"
"10/10/2018","824.50","829.30","831.40","822.60","","-0.58%"
"10/09/2018","829.30","825.30","830.60","814.00","","0.48%"
"10/08/2018","825.30","825.20","827.10","812.40","","0.01%"
"10/07/2018","825.20","825.50","826.90","824.90","","-0.01%"
"10/05/2018","825.30","827.40","834.30","821.90","","-0.25%"
"10/04/2018","827.40","827.80","836.40","823.20","","-0.05%"
"10/03/2018","827.80","835.90","840.00","827.50","","-0.99%"
"10/02/2018","836.10","827.00","838.20","818.80","","1.11%"
"10/01/2018","826.90","818.60","828.40","811.40","","1.01%"
"09/30/2018","818.60","819.80","820.60","818.20","","0.01%"
"09/28/2018","818.50","813.20","826.80","809.20","","0.65%"
"09/27/2018","813.20","827.40","835.70","810.00","","-1.74%"
"09/26/2018","827.60","827.80","832.90","823.30","","-0.02%"
"09/25/2018","827.80","831.60","837.30","825.60","","-0.46%"
"09/24/2018","831.60","829.40","838.40","826.30","","0.27%"
"09/23/2018","829.40","832.10","833.00","828.80","","0.08%"
"09/21/2018","828.70","835.10","839.00","822.90","","-0.75%"
"09/20/2018","835.00","824.20","835.90","818.80","","1.31%"
"09/19/2018","824.20","815.20","827.30","812.60","","1.10%"
"09/18/2018","815.20","795.50","819.00","795.00","","2.49%"
"09/17/2018","795.40","793.50","808.00","792.40","","0.24%"
"09/16/2018","793.50","796.00","796.20","793.50","","-0.14%"
"09/14/2018","794.60","804.20","812.40","794.60","","-1.19%"
"09/13/2018","804.20","799.70","813.70","799.60","","0.55%"
"09/12/2018","799.80","792.60","802.00","783.30","","0.92%"
"09/11/2018","792.50","786.30","794.10","781.40","","0.79%"
"09/10/2018","786.30","782.10","801.10","776.70","","0.54%"
"09/09/2018","782.10","783.10","783.10","779.90","","0.03%"
"09/07/2018","781.90","792.40","794.80","775.10","","-1.36%"
"09/06/2018","792.70","785.80","796.30","781.00","","0.92%"
"09/05/2018","785.50","778.10","786.50","770.10","","0.99%"
"09/04/2018","777.80","787.40","791.40","765.60","","-1.24%"
"09/03/2018","787.60","787.20","790.00","783.40","","0.05%"
"09/02/2018","787.20","786.30","789.10","786.30","","-0.08%"
"08/31/2018","787.80","791.10","801.30","784.40","","-0.42%"
"08/30/2018","791.10","797.20","797.90","788.00","","-0.77%"
"08/29/2018","797.20","792.00","798.90","786.70","","0.68%"
"08/28/2018","791.80","805.00","810.00","787.90","","-1.64%"
"08/27/2018","805.00","792.70","805.80","787.40","","1.55%"
"08/26/2018","792.70","791.00","792.80","790.50","","0.28%"
"08/24/2018","790.50","775.60","794.30","774.10","","1.92%"
"08/23/2018","775.60","792.80","793.20","774.80","","-2.18%"
"08/22/2018","792.90","795.30","801.50","788.50","","-0.30%"
"08/21/2018","795.30","795.60","803.30","786.90","","-0.08%"
"08/20/2018","795.90","788.20","797.90","786.10","","0.96%"
"08/19/2018","788.30","786.10","788.40","786.10","","0.03%"
"08/17/2018","788.10","781.50","790.30","772.80","","0.91%"
"08/16/2018","781.00","765.30","795.70","756.00","","2.06%"
"08/15/2018","765.20","801.20","801.60","756.70","","-4.49%"
"08/14/2018","801.20","799.80","808.20","795.90","","0.18%"
"08/13/2018","799.80","830.20","830.50","797.00","","-3.70%"
"08/12/2018","830.50","828.80","831.80","828.80","","0.21%"
"08/10/2018","828.80","833.90","837.10","828.50","","-0.59%"
"08/09/2018","833.70","832.10","842.00","827.60","","0.20%"
"08/08/2018","832.00","832.50","834.70","824.60","","-0.07%"
"08/07/2018","832.60","824.30","839.60","823.30","","1.01%"
"08/06/2018","824.30","836.10","838.80","822.00","","-1.41%"
"08/05/2018","836.10","832.90","836.40","832.50","","0.43%"
"08/03/2018","832.50","825.00","843.80","823.00","","0.91%"
"08/02/2018","825.00","821.30","836.40","814.20","","0.43%"
"08/01/2018","821.50","839.70","840.80","816.40","","-2.17%"
"07/31/2018","839.70","831.40","846.70","827.00","","1.01%"
"07/30/2018","831.30","832.60","834.50","824.30","","-0.16%"
