date,price,year
2017-02-28,1246.18,2017
2017-03-01,1247.29,2017
2017-03-02,1235.37,2017
2017-03-03,1234.65,2017
2017-03-06,1225.99,2017
2017-03-07,1216.22,2017
2017-03-08,1208.5,2017
2017-03-09,1200.04,2017
2017-03-10,1204.81,2017
2017-03-13,1202.24,2017
2017-03-14,1200.35,2017
2017-03-15,1220.59,2017
2017-03-16,1226.58,2017
2017-03-17,1229.37,2017
2017-03-20,1234.67,2017
2017-03-21,1246.05,2017
2017-03-22,1246.16,2017
2017-03-23,1245.77,2017
2017-03-24,1254.9,2017
2017-03-27,1253.07,2017
2017-03-28,1249.99,2017
2017-03-29,1252.54,2017
2017-03-30,1243.63,2017
2017-03-31,1249.14,2017
2017-04-03,1255.48,2017
2017-04-04,1255.61,2017
2017-04-05,1258.44,2017
2017-04-06,1251.59,2017
2017-04-07,1254.3,2017
2017-04-10,1256.03,2017
2017-04-11,1276.16,2017
2017-04-12,1287.17,2017
2017-04-13,1299.7,2017
2017-04-14,1287.43,2017
2017-04-17,1283.0,2017
2017-04-18,1289.34,2017
2017-04-19,1279.54,2017
2017-04-20,1281.31,2017
2017-04-21,1284.56,2017
2017-04-24,1277.43,2017
2017-04-25,1263.8,2017
2017-04-26,1267.4,2017
2017-04-27,1264.31,2017
2017-04-28,1268.18,2017
2017-05-01,1256.73,2017
2017-05-02,1256.59,2017
2017-05-03,1238.57,2017
2017-05-04,1228.54,2017
2017-05-05,1227.92,2017
2017-05-08,1227.74,2017
2017-05-09,1223.5,2017
2017-05-10,1217.91,2017
2017-05-11,1225.16,2017
2017-05-12,1228.46,2017
2017-05-15,1231.51,2017
2017-05-16,1243.52,2017
2017-05-17,1260.03,2017
2017-05-18,1248.84,2017
2017-05-19,1255.41,2017
2017-05-22,1263.33,2017
2017-05-23,1251.1,2017
2017-05-24,1257.94,2017
2017-05-25,1255.06,2017
2017-05-26,1266.93,2017
2017-05-29,1267.26,2017
2017-05-30,1262.5,2017
2017-05-31,1268.79,2017
2017-06-01,1264.88,2017
2017-06-02,1279.07,2017
2017-06-05,1280.6,2017
2017-06-06,1293.73,2017
2017-06-07,1284.91,2017
2017-06-08,1280.24,2017
2017-06-09,1266.69,2017
2017-06-12,1265.34,2017
2017-06-13,1267.4,2017
2017-06-14,1263.57,2017
2017-06-15,1254.05,2017
2017-06-16,1253.91,2017
2017-06-19,1243.78,2017
2017-06-20,1244.91,2017
2017-06-21,1249.16,2017
2017-06-22,1251.38,2017
2017-06-23,1256.84,2017
2017-06-26,1243.23,2017
2017-06-27,1249.39,2017
2017-06-28,1249.83,2017
2017-06-29,1246.38,2017
2017-06-30,1241.57,2017
2017-07-03,1223.36,2017
2017-07-04,1226.79,2017
2017-07-05,1226.75,2017
2017-07-06,1223.29,2017
2017-07-07,1213.07,2017
2017-07-10,1213.76,2017
2017-07-11,1217.71,2017
2017-07-12,1219.25,2017
2017-07-13,1217.76,2017
2017-07-14,1250.8,2017
2017-07-17,1233.0,2017
2017-07-18,1242.8,2017
2017-07-19,1241.43,2017
2017-07-20,1244.03,2017
