"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2020","2,307.60","2,273.90","2,343.60","2,266.40","","1.48%"
"08/31/2020","2,273.90","2,233.70","2,318.50","2,224.40","","1.80%"
"08/30/2020","2,233.70","2,220.50","2,234.20","2,220.50","","1.86%"
"08/28/2020","2,193.00","2,149.10","2,201.00","2,149.10","","2.04%"
"08/27/2020","2,149.10","2,181.00","2,225.80","2,142.50","","-1.46%"
"08/26/2020","2,181.00","2,171.00","2,202.60","2,144.65","","0.46%"
"08/25/2020","2,171.00","2,174.70","2,201.60","2,134.65","","0.18%"
"08/24/2020","2,167.20","2,173.70","2,203.60","2,152.15","","-0.57%"
"08/23/2020","2,179.70","2,178.50","2,180.50","2,172.50","","0.04%"
"08/21/2020","2,178.80","2,192.00","2,217.75","2,165.80","","-0.46%"
"08/20/2020","2,188.90","2,168.70","2,205.10","2,150.80","","1.20%"
"08/19/2020","2,163.00","2,217.50","2,217.50","2,161.60","","-2.46%"
"08/18/2020","2,217.50","2,186.30","2,258.65","2,164.00","","1.43%"
"08/17/2020","2,186.30","2,162.60","2,245.95","2,151.00","","1.10%"
"08/16/2020","2,162.60","2,143.15","2,162.60","2,143.15","","1.05%"
"08/14/2020","2,140.10","2,205.20","2,206.30","2,132.60","","-2.95%"
"08/13/2020","2,205.20","2,176.80","2,236.10","2,150.70","","1.30%"
"08/12/2020","2,176.80","2,128.70","2,211.55","2,102.00","","2.26%"
"08/11/2020","2,128.70","2,272.70","2,285.00","2,106.85","","-6.20%"
"08/10/2020","2,269.30","2,218.00","2,350.00","2,194.50","","2.31%"
"08/09/2020","2,218.00","2,182.15","2,218.00","2,182.15","","0.91%"
"08/07/2020","2,197.90","2,289.50","2,289.50","2,148.30","","-3.84%"
"08/06/2020","2,285.70","2,227.60","2,307.50","2,217.60","","2.61%"
"08/05/2020","2,227.60","2,180.80","2,237.50","2,156.30","","2.06%"
"08/04/2020","2,182.65","2,140.50","2,199.40","2,125.70","","1.97%"
"08/03/2020","2,140.50","2,115.80","2,170.00","2,108.50","","1.64%"
"08/02/2020","2,106.00","2,127.50","2,136.70","2,101.30","","-1.27%"
"07/31/2020","2,133.00","2,144.80","2,189.70","2,095.00","","-0.55%"
"07/30/2020","2,144.80","2,227.60","2,229.45","2,079.00","","-4.03%"
"07/29/2020","2,234.90","2,348.00","2,362.90","2,156.50","","-4.82%"
"07/28/2020","2,348.00","2,407.10","2,419.10","2,308.90","","-2.46%"
"07/27/2020","2,407.10","2,314.00","2,420.20","2,288.00","","4.05%"
"07/26/2020","2,313.35","2,287.00","2,316.00","2,287.00","","0.58%"
"07/24/2020","2,300.00","2,233.00","2,308.15","2,206.40","","3.01%"
"07/23/2020","2,232.80","2,228.45","2,244.15","2,199.65","","0.36%"
"07/22/2020","2,224.90","2,226.35","2,235.00","2,170.00","","-0.07%"
"07/21/2020","2,226.35","2,095.10","2,235.00","2,095.10","","6.22%"
"07/20/2020","2,095.90","2,055.20","2,121.20","2,045.50","","1.86%"
