"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2020","330.89","330.89","330.89","330.89","","-1.84%"
"04/07/2020","337.09","337.09","337.09","337.09","","0.62%"
"04/06/2020","335.02","335.02","335.02","335.02","","7.08%"
"04/03/2020","312.87","312.87","312.87","312.87","","0.22%"
"04/02/2020","312.18","312.18","312.18","312.18","","1.21%"
"04/01/2020","308.46","308.46","308.46","308.46","","-3.85%"
"03/31/2020","320.81","320.81","320.81","320.81","","0.61%"
"03/30/2020","318.86","318.86","318.86","318.86","","5.86%"
"03/27/2020","301.21","301.21","301.21","301.21","","-6.57%"
"03/26/2020","322.39","322.39","322.39","322.39","","1.80%"
"03/25/2020","316.68","316.68","316.68","316.68","","1.12%"
"03/24/2020","313.18","313.18","313.18","313.18","","11.72%"
"03/23/2020","280.32","280.32","280.32","280.32","","0.23%"
"03/20/2020","279.69","279.69","279.69","279.69","","0.36%"
"03/19/2020","278.69","278.69","278.69","278.69","","8.43%"
"03/18/2020","257.02","257.02","257.02","257.02","","-7.97%"
"03/17/2020","279.28","279.28","279.28","279.28","","1.32%"
"03/16/2020","275.65","275.65","275.65","275.65","","-6.01%"
"03/13/2020","293.27","293.27","293.27","293.27","","3.87%"
"03/12/2020","282.34","282.34","282.34","282.34","","-12.62%"
"03/11/2020","323.13","323.13","323.13","323.13","","-1.34%"
"03/10/2020","327.51","327.51","327.51","327.51","","3.95%"
"03/09/2020","315.06","315.06","315.06","315.06","","-8.35%"
"03/06/2020","343.77","343.77","343.77","343.77","","-3.79%"
"03/05/2020","357.33","357.33","357.33","357.33","","-2.69%"
"03/04/2020","367.20","367.20","367.20","367.20","","0.54%"
"03/03/2020","365.24","365.24","365.24","365.24","","0.46%"
"03/02/2020","363.56","363.56","363.56","363.56","","-2.60%"
"02/28/2020","373.25","373.25","373.25","373.25","","-4.81%"
"02/27/2020","392.13","392.13","392.13","392.13","","-4.13%"
"02/26/2020","409.02","409.02","409.02","409.02","","-0.80%"
"02/25/2020","412.31","412.31","412.31","412.31","","-1.84%"
"02/24/2020","420.03","420.03","420.03","420.03","","-5.34%"
"02/21/2020","443.71","443.71","443.71","443.71","","-1.31%"
"02/20/2020","449.62","449.62","449.62","449.62","","-1.18%"
"02/19/2020","454.98","454.98","454.98","454.98","","1.29%"
"02/18/2020","449.18","449.18","449.18","449.18","","-1.87%"
"02/17/2020","457.76","457.76","457.76","457.76","","-0.38%"
"02/14/2020","459.50","459.50","459.50","459.50","","-0.33%"
"02/13/2020","461.00","461.00","461.00","461.00","","0.13%"
"02/12/2020","460.38","460.38","460.38","460.38","","0.87%"
"02/11/2020","456.39","456.39","456.39","456.39","","1.71%"
"02/10/2020","448.70","448.70","448.70","448.70","","-0.66%"
"02/07/2020","451.68","451.68","451.68","451.68","","-0.83%"
"02/06/2020","455.47","455.47","455.47","455.47","","0.42%"
"02/05/2020","453.58","453.58","453.58","453.58","","2.05%"
"02/04/2020","444.49","444.49","444.49","444.49","","2.21%"
"02/03/2020","434.88","434.88","434.88","434.88","","0.10%"
"01/31/2020","434.46","434.46","434.46","434.46","","-1.13%"
"01/30/2020","439.42","439.42","439.42","439.42","","-1.97%"
"01/29/2020","448.24","448.24","448.24","448.24","","1.12%"
"01/28/2020","443.27","443.27","443.27","443.27","","0.31%"
"01/27/2020","441.90","441.90","441.90","441.90","","-2.95%"
"01/24/2020","455.35","455.35","455.35","455.35","","0.45%"
"01/23/2020","453.31","453.31","453.31","453.31","","-1.98%"
"01/22/2020","462.48","462.48","462.48","462.48","","-0.14%"
"01/21/2020","463.13","463.13","463.13","463.13","","-1.29%"
"01/20/2020","469.18","469.18","469.18","469.18","","0.14%"
"01/17/2020","468.54","468.54","468.54","468.54","","-0.83%"
"01/16/2020","472.47","472.47","472.47","472.47","","0.39%"
"01/15/2020","470.65","470.65","470.65","470.65","","0.11%"
"01/14/2020","470.12","470.12","470.12","470.12","","0.88%"
"01/13/2020","466.02","466.02","466.02","466.02","","-0.95%"
"01/10/2020","470.49","470.49","470.49","470.49","","-1.56%"
"01/09/2020","477.94","477.94","477.94","477.94","","1.49%"
"01/08/2020","470.94","470.94","470.94","470.94","","0.91%"
"01/07/2020","466.71","466.71","466.71","466.71","","0.77%"
"01/06/2020","463.16","463.16","463.16","463.16","","-0.86%"
"01/03/2020","467.19","467.19","467.19","467.19","","-2.40%"
"01/02/2020","478.70","478.70","478.70","478.70","","0.90%"
"12/30/2019","474.45","474.45","474.45","474.45","","-0.86%"
"12/27/2019","478.56","478.56","478.56","478.56","","0.96%"
"12/23/2019","474.03","474.03","474.03","474.03","","-1.09%"
"12/20/2019","479.25","479.25","479.25","479.25","","0.52%"
"12/19/2019","476.77","476.77","476.77","476.77","","-0.57%"
"12/18/2019","479.51","479.51","479.51","479.51","","-1.03%"
"12/17/2019","484.49","484.49","484.49","484.49","","-0.34%"
"12/16/2019","486.16","486.16","486.16","486.16","","0.98%"
"12/13/2019","481.42","481.42","481.42","481.42","","0.81%"
"12/12/2019","477.55","477.55","477.55","477.55","","0.04%"
"12/11/2019","477.37","477.37","477.37","477.37","","0.82%"
"12/10/2019","473.49","473.49","473.49","473.49","","-0.68%"
"12/09/2019","476.75","476.75","476.75","476.75","","-0.14%"
"12/06/2019","477.40","477.40","477.40","477.40","","1.28%"
"12/05/2019","471.37","471.37","471.37","471.37","","-0.37%"
"12/04/2019","473.14","473.14","473.14","473.14","","1.27%"
"12/03/2019","467.19","467.19","467.19","467.19","","-0.28%"
"12/02/2019","468.51","468.51","468.51","468.51","","-1.53%"
"11/29/2019","475.81","475.81","475.81","475.81","","0.28%"
"11/28/2019","474.48","474.48","474.48","474.48","","-0.13%"
"11/27/2019","475.08","475.08","475.08","475.08","","-0.31%"
"11/26/2019","476.57","476.57","476.57","476.57","","0.05%"
"11/25/2019","476.31","476.31","476.31","476.31","","0.00%"
"11/22/2019","476.30","476.30","476.30","476.30","","-0.05%"
"11/21/2019","476.55","476.55","476.55","476.55","","-0.40%"
"11/20/2019","478.46","478.46","478.46","478.46","","-1.04%"
"11/19/2019","483.51","483.51","483.51","483.51","","0.96%"
"11/18/2019","478.91","478.91","478.91","478.91","","-0.71%"
"11/15/2019","482.34","482.34","482.34","482.34","","0.55%"
"11/14/2019","479.69","479.69","479.69","479.69","","0.09%"
"11/13/2019","479.25","479.25","479.25","479.25","","-0.10%"
"11/12/2019","479.72","479.72","479.72","479.72","","2.66%"
"11/11/2019","467.30","467.30","467.30","467.30","","0.50%"
"11/08/2019","464.97","464.97","464.97","464.97","","-0.22%"
"11/07/2019","466.01","466.01","466.01","466.01","","2.25%"
"11/06/2019","455.74","455.74","455.74","455.74","","-0.52%"
"11/05/2019","458.13","458.13","458.13","458.13","","0.52%"
"11/04/2019","455.74","455.74","455.74","455.74","","1.01%"
"11/01/2019","451.19","451.19","451.19","451.19","","1.33%"
"10/31/2019","445.26","445.26","445.26","445.26","","-0.48%"
"10/30/2019","447.42","447.42","447.42","447.42","","-0.49%"
"10/29/2019","449.61","449.61","449.61","449.61","","-0.20%"
"10/28/2019","450.53","450.53","450.53","450.53","","0.21%"
"10/25/2019","449.57","449.57","449.57","449.57","","-0.03%"
"10/24/2019","449.70","449.70","449.70","449.70","","0.01%"
"10/23/2019","449.65","449.65","449.65","449.65","","0.85%"
"10/22/2019","445.88","445.88","445.88","445.88","","0.66%"
