"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/1999","1.6293","1.6305","1.6359","1.6262","","-0.04%"
"03/17/1999","1.6300","1.6290","1.6327","1.6242","","0.09%"
"03/16/1999","1.6285","1.6211","1.6302","1.6174","","0.35%"
"03/15/1999","1.6228","1.6305","1.6311","1.6189","","-0.53%"
"03/12/1999","1.6315","1.6369","1.6385","1.6285","","-0.31%"
"03/11/1999","1.6366","1.6262","1.6414","1.6212","","0.62%"
"03/10/1999","1.6265","1.6181","1.6292","1.6151","","0.48%"
"03/09/1999","1.6187","1.6100","1.6197","1.6065","","0.62%"
"03/08/1999","1.6087","1.6019","1.6119","1.6010","","0.12%"
"03/05/1999","1.6067","1.6098","1.6111","1.6050","","-0.24%"
"03/04/1999","1.6105","1.6134","1.6138","1.6052","","-0.26%"
"03/03/1999","1.6147","1.6162","1.6227","1.6115","","-0.07%"
"03/02/1999","1.6159","1.6085","1.6173","1.6046","","0.54%"
"03/01/1999","1.6073","1.5982","1.6120","1.5954","","0.27%"
"02/26/1999","1.6030","1.6017","1.6064","1.5973","","-0.02%"
"02/25/1999","1.6033","1.5975","1.6075","1.5974","","0.38%"
"02/24/1999","1.5973","1.6147","1.6162","1.5954","","-1.11%"
"02/23/1999","1.6153","1.6260","1.6274","1.6100","","-0.72%"
"02/22/1999","1.6270","1.6235","1.6280","1.6173","","0.29%"
"02/19/1999","1.6223","1.6347","1.6361","1.6201","","-0.81%"
"02/18/1999","1.6355","1.6348","1.6388","1.6325","","0.06%"
"02/17/1999","1.6345","1.6345","1.6395","1.6319","","0.05%"
"02/16/1999","1.6337","1.6328","1.6354","1.6236","","0.43%"
"02/15/1999","1.6267","1.6332","1.6368","1.6256","","-0.45%"
"02/12/1999","1.6340","1.6225","1.6345","1.6215","","0.74%"
"02/11/1999","1.6220","1.6245","1.6290","1.6191","","-0.29%"
"02/10/1999","1.6267","1.6370","1.6383","1.6254","","-0.68%"
"02/09/1999","1.6378","1.6391","1.6435","1.6334","","-0.10%"
"02/08/1999","1.6395","1.6313","1.6404","1.6286","","0.43%"
"02/05/1999","1.6325","1.6440","1.6460","1.6315","","-0.76%"
"02/04/1999","1.6450","1.6365","1.6458","1.6300","","0.61%"
"02/03/1999","1.6351","1.6380","1.6408","1.6330","","-0.27%"
"02/02/1999","1.6395","1.6431","1.6484","1.6385","","-0.13%"
"02/01/1999","1.6416","1.6477","1.6479","1.6381","","-0.26%"
"01/29/1999","1.6458","1.6488","1.6492","1.6418","","-0.22%"
"01/28/1999","1.6495","1.6480","1.6510","1.6445","","0.17%"
"01/27/1999","1.6467","1.6591","1.6595","1.6437","","-0.77%"
"01/26/1999","1.6595","1.6588","1.6630","1.6563","","0.11%"
"01/25/1999","1.6577","1.6550","1.6613","1.6545","","0.08%"
"01/22/1999","1.6563","1.6525","1.6575","1.6495","","0.25%"
"01/21/1999","1.6522","1.6460","1.6555","1.6418","","0.39%"
"01/20/1999","1.6457","1.6565","1.6570","1.6445","","-0.71%"
"01/19/1999","1.6575","1.6525","1.6625","1.6480","","0.30%"
"01/18/1999","1.6525","1.6495","1.6567","1.6489","","0.13%"
"01/15/1999","1.6503","1.6563","1.6648","1.6485","","-0.35%"
"01/14/1999","1.6561","1.6498","1.6588","1.6439","","0.43%"
"01/13/1999","1.6490","1.6328","1.6595","1.6323","","1.04%"
"01/12/1999","1.6320","1.6295","1.6335","1.6233","","0.14%"
"01/11/1999","1.6297","1.6402","1.6450","1.6290","","-0.77%"
"01/08/1999","1.6423","1.6512","1.6525","1.6365","","-0.59%"
"01/07/1999","1.6520","1.6560","1.6587","1.6463","","-0.18%"
"01/06/1999","1.6549","1.6545","1.6654","1.6496","","0.04%"
"01/05/1999","1.6542","1.6582","1.6603","1.6529","","-0.26%"
"01/04/1999","1.6585","1.6582","1.6721","1.6540","","0.26%"
"12/31/1998","1.6542","1.6603","1.6663","1.6523","","-0.35%"
"12/30/1998","1.6600","1.6821","1.6833","1.6600","","-1.28%"
"12/29/1998","1.6816","1.6753","1.6856","1.6732","","0.32%"
"12/28/1998","1.6763","1.6730","1.6775","1.6713","","0.24%"
"12/25/1998","1.6723","1.6725","1.6735","1.6721","","-0.10%"
"12/24/1998","1.6740","1.6781","1.6790","1.6718","","-0.24%"
"12/23/1998","1.6780","1.6803","1.6833","1.6750","","-0.10%"
"12/22/1998","1.6797","1.6850","1.6854","1.6766","","-0.25%"
"12/21/1998","1.6839","1.6843","1.6862","1.6789","","0.13%"
"12/18/1998","1.6817","1.6740","1.6869","1.6740","","0.49%"
"12/17/1998","1.6735","1.6690","1.6819","1.6690","","0.18%"
"12/16/1998","1.6705","1.6835","1.6892","1.6692","","-0.86%"
"12/15/1998","1.6850","1.6922","1.6928","1.6833","","-0.45%"
"12/14/1998","1.6927","1.6860","1.6945","1.6806","","0.21%"
"12/11/1998","1.6892","1.6735","1.6910","1.6664","","1.05%"
"12/10/1998","1.6717","1.6557","1.6725","1.6552","","0.97%"
"12/09/1998","1.6557","1.6608","1.6608","1.6535","","-0.16%"
"12/08/1998","1.6583","1.6505","1.6593","1.6468","","0.39%"
"12/07/1998","1.6518","1.6605","1.6633","1.6505","","-0.64%"
"12/04/1998","1.6625","1.6675","1.6698","1.6601","","-0.23%"
"12/03/1998","1.6663","1.6685","1.6731","1.6601","","-0.04%"
"12/02/1998","1.6670","1.6550","1.6685","1.6495","","0.79%"
"12/01/1998","1.6540","1.6484","1.6560","1.6467","","0.35%"
"11/30/1998","1.6482","1.6536","1.6546","1.6447","","-0.34%"
"11/27/1998","1.6538","1.6605","1.6621","1.6517","","-0.40%"
"11/26/1998","1.6605","1.6600","1.6623","1.6542","","-0.04%"
"11/25/1998","1.6612","1.6591","1.6650","1.6574","","0.09%"
"11/24/1998","1.6597","1.6557","1.6620","1.6513","","0.18%"
"11/23/1998","1.6568","1.6557","1.6576","1.6448","","0.07%"
"11/20/1998","1.6557","1.6659","1.6663","1.6543","","-0.63%"
"11/19/1998","1.6662","1.6688","1.6720","1.6653","","-0.21%"
"11/18/1998","1.6697","1.6746","1.6776","1.6692","","-0.42%"
"11/17/1998","1.6768","1.6757","1.6801","1.6717","","0.00%"
"11/16/1998","1.6768","1.6650","1.6787","1.6630","","0.77%"
"11/13/1998","1.6640","1.6590","1.6707","1.6589","","0.22%"
"11/12/1998","1.6603","1.6620","1.6633","1.6525","","-0.14%"
"11/11/1998","1.6627","1.6584","1.6632","1.6546","","0.24%"
"11/10/1998","1.6587","1.6606","1.6640","1.6573","","-0.30%"
"11/09/1998","1.6637","1.6597","1.6669","1.6562","","0.14%"
"11/06/1998","1.6613","1.6625","1.6651","1.6563","","0.01%"
"11/05/1998","1.6612","1.6568","1.6652","1.6490","","0.15%"
"11/04/1998","1.6587","1.6593","1.6618","1.6507","","-0.02%"
"11/03/1998","1.6590","1.6637","1.6642","1.6530","","-0.32%"
"11/02/1998","1.6644","1.6770","1.6785","1.6605","","-0.63%"
"10/30/1998","1.6749","1.6753","1.6846","1.6719","","-0.04%"
"10/29/1998","1.6755","1.6732","1.6814","1.6730","","0.15%"
"10/28/1998","1.6730","1.6755","1.6791","1.6685","","-0.20%"
"10/27/1998","1.6763","1.6649","1.6778","1.6624","","0.77%"
"10/26/1998","1.6635","1.6865","1.6894","1.6615","","-1.50%"
"10/23/1998","1.6888","1.6965","1.6971","1.6865","","-0.40%"
"10/22/1998","1.6955","1.6970","1.6992","1.6873","","-0.09%"
"10/21/1998","1.6970","1.7080","1.7100","1.6955","","-0.74%"
"10/20/1998","1.7097","1.6999","1.7109","1.6914","","0.53%"
"10/19/1998","1.7007","1.7033","1.7061","1.6973","","-0.11%"
"10/16/1998","1.7025","1.7105","1.7123","1.6953","","-0.44%"
"10/15/1998","1.7100","1.7078","1.7123","1.6971","","0.24%"
"10/14/1998","1.7059","1.7070","1.7085","1.6986","","-0.02%"
"10/13/1998","1.7062","1.6938","1.7062","1.6864","","0.88%"
"10/12/1998","1.6914","1.7010","1.7040","1.6871","","-0.83%"
"10/09/1998","1.7055","1.7130","1.7175","1.6959","","-0.35%"
"10/08/1998","1.7115","1.7015","1.7371","1.6979","","0.65%"
"10/07/1998","1.7005","1.6825","1.7077","1.6770","","0.89%"
"10/06/1998","1.6855","1.6843","1.6883","1.6807","","0.10%"
"10/05/1998","1.6838","1.6989","1.7006","1.6830","","-0.90%"
"10/02/1998","1.6991","1.7028","1.7115","1.6963","","-0.28%"
"10/01/1998","1.7039","1.7001","1.7087","1.6938","","0.32%"
"09/30/1998","1.6985","1.7094","1.7120","1.6946","","-0.64%"
"09/29/1998","1.7095","1.7105","1.7150","1.7043","","-0.08%"
"09/28/1998","1.7108","1.6980","1.7110","1.6920","","0.69%"
"09/25/1998","1.6990","1.6965","1.7082","1.6912","","0.21%"
"09/24/1998","1.6955","1.6855","1.7001","1.6773","","0.59%"
"09/23/1998","1.6855","1.6815","1.6870","1.6765","","0.24%"
"09/22/1998","1.6814","1.6823","1.6871","1.6710","","-0.07%"
"09/21/1998","1.6825","1.6775","1.6898","1.6766","","-0.06%"
"09/18/1998","1.6835","1.6820","1.6869","1.6773","","0.06%"
"09/17/1998","1.6825","1.6790","1.6935","1.6766","","0.21%"
"09/16/1998","1.6790","1.6763","1.6805","1.6691","","0.16%"
"09/15/1998","1.6763","1.6790","1.6834","1.6725","","-0.22%"
"09/14/1998","1.6800","1.6690","1.6809","1.6685","","0.39%"
"09/11/1998","1.6735","1.6890","1.6946","1.6725","","-0.98%"
"09/10/1998","1.6900","1.6705","1.6947","1.6683","","1.26%"
"09/09/1998","1.6690","1.6560","1.6695","1.6515","","0.72%"
"09/08/1998","1.6570","1.6667","1.6677","1.6521","","-0.57%"
"09/07/1998","1.6665","1.6687","1.6753","1.6647","","-0.24%"
"09/04/1998","1.6705","1.6765","1.6775","1.6651","","-0.30%"
"09/03/1998","1.6755","1.6683","1.6896","1.6682","","0.35%"
"09/02/1998","1.6696","1.6750","1.6782","1.6648","","-0.32%"
"09/01/1998","1.6750","1.6815","1.6861","1.6717","","-0.45%"
"08/31/1998","1.6825","1.6818","1.6830","1.6635","","0.12%"
"08/28/1998","1.6805","1.6532","1.6847","1.6446","","1.61%"
"08/27/1998","1.6538","1.6380","1.6555","1.6380","","0.96%"
"08/26/1998","1.6380","1.6392","1.6420","1.6351","","-0.06%"
"08/25/1998","1.6390","1.6415","1.6422","1.6359","","-0.12%"
"08/24/1998","1.6409","1.6348","1.6432","1.6330","","0.21%"
"08/21/1998","1.6375","1.6285","1.6388","1.6280","","0.49%"
"08/20/1998","1.6295","1.6225","1.6331","1.6220","","0.43%"
"08/19/1998","1.6225","1.6180","1.6241","1.6151","","0.34%"
"08/18/1998","1.6170","1.6150","1.6188","1.6123","","0.11%"
"08/17/1998","1.6152","1.6195","1.6195","1.6083","","-0.10%"
"08/14/1998","1.6168","1.6248","1.6260","1.6160","","-0.47%"
"08/13/1998","1.6245","1.6258","1.6300","1.6210","","-0.14%"
"08/12/1998","1.6267","1.6313","1.6352","1.6265","","-0.23%"
"08/11/1998","1.6305","1.6350","1.6365","1.6285","","-0.28%"
"08/10/1998","1.6350","1.6280","1.6367","1.6256","","0.37%"
"08/07/1998","1.6290","1.6330","1.6364","1.6273","","-0.29%"
"08/06/1998","1.6337","1.6362","1.6387","1.6309","","-0.17%"
"08/05/1998","1.6365","1.6378","1.6418","1.6347","","-0.08%"
"08/04/1998","1.6378","1.6267","1.6391","1.6246","","0.66%"
"08/03/1998","1.6270","1.6345","1.6350","1.6217","","-0.43%"
"07/31/1998","1.6341","1.6362","1.6388","1.6298","","-0.13%"
"07/30/1998","1.6362","1.6442","1.6458","1.6342","","-0.32%"
"07/29/1998","1.6415","1.6480","1.6503","1.6404","","-0.32%"
"07/28/1998","1.6468","1.6558","1.6582","1.6468","","-0.58%"
"07/27/1998","1.6564","1.6578","1.6598","1.6536","","-0.19%"
"07/24/1998","1.6595","1.6517","1.6620","1.6496","","0.48%"
"07/23/1998","1.6515","1.6443","1.6525","1.6375","","0.47%"
"07/22/1998","1.6437","1.6435","1.6447","1.6388","","-0.02%"
"07/21/1998","1.6440","1.6465","1.6502","1.6420","","-0.20%"
"07/20/1998","1.6473","1.6453","1.6502","1.6429","","0.17%"
"07/17/1998","1.6445","1.6395","1.6461","1.6380","","0.24%"
"07/16/1998","1.6405","1.6360","1.6422","1.6335","","0.32%"
"07/15/1998","1.6353","1.6342","1.6412","1.6302","","0.04%"
"07/14/1998","1.6347","1.6410","1.6422","1.6330","","-0.38%"
"07/13/1998","1.6410","1.6300","1.6450","1.6293","","0.64%"
"07/10/1998","1.6305","1.6320","1.6347","1.6285","","-0.09%"
