,agnico_mines,coal_monthly,dowjones_transport,euro,gold_actual,gold_scaled,gold_predicted,oil,platinum,silver,southern_copper,date,buy_price,buy_date,sell_price,sell_time
23,0.10417203074999083,0.6044038583175204,0.5308392679248782,0.634101382488479,1111.2106451612904,0.37228549594140997,1105.5706451612905,0.7823623940354658,0.23230752321811293,0.24831065586301784,0.23338917509541382,8-2013,0.0,,0.0,
24,0.12210186240973016,0.5662745098039215,0.5299523746784041,0.5533333333333331,1105.7033333333334,0.3679102382806087,1121.2633333333333,0.7324773122224367,0.2544576944917661,0.3036018957345971,0.2587140439932318,9-2013,0.0,,0.0,
25,0.15293154816640306,0.39261543327008214,0.6554850135563793,0.48571428571428543,1131.7229032258065,0.3885813616996413,1158.2070967741936,0.6484375486611564,0.3508490410507227,0.3582632624980889,0.31532541471955255,10-2013,0.0,,0.0,
26,0.3037343215507412,0.4100490196078429,0.6897888471158746,0.5457142857142855,1207.6003333333333,0.4488618247877508,1316.4896666666668,0.7187616657012293,0.4361783077796707,0.42631911532385464,0.36256670571391386,11-2013,0.0,,0.0,
27,0.43379648361349177,0.6197580645161289,0.7478546069796549,0.5336405529953915,1217.3732258064515,0.45662585268320044,1381.2696774193548,0.7215304984771005,0.51718415123372,0.5004127809203485,0.44443324810117013,12-2013,0.0,,0.0,
28,0.5600746680398719,0.6924019607843136,0.8159132055670162,0.5824884792626726,1211.2683870967742,0.4517758926361078,1469.773548387097,0.7936704682059682,0.5803593999010828,0.6870203332823727,0.4753246589663816,1-2014,0.0,,0.0,
29,0.7276938426453821,0.7630689775910362,0.8586921646927713,0.7479591836734694,1297.0660714285714,0.519937454461264,1564.0492857142856,0.8875886133561359,0.6007970309077635,0.8435172647257955,0.5209111954035811,2-2014,0.0,,1564.0492857142856,2-2014
30,0.6036202964652224,0.7340686274509801,0.8512137088496357,0.7410138248847926,1361.866129032258,0.5714175517042901,1457.568064516129,0.9039109555338245,0.510067593559378,0.621617489680477,0.45032812283508206,3-2014,1457.568064516129,3-2014,0.0,
31,0.7307107563664006,0.7446568627450978,0.7454043045610208,0.7552380952380952,1389.3225,0.5932301348968017,1531.3343333333332,0.9406964021368347,0.5622941510505395,0.6955766192733017,0.49791748015098264,4-2014,0.0,,1531.3343333333332,4-2014
32,0.6626052892926767,0.6748339658444023,0.7453839073111539,0.752073732718894,1357.7861290322583,0.5681762151296202,1460.4290322580646,0.757640969423665,0.5246743968786064,0.6887326096927076,0.5024058142610623,5-2014,1460.4290322580646,5-2014,0.0,
33,0.721541239072596,0.6209640522875816,0.8482053434732475,0.7352380952380952,1419.7876666666666,0.6174330415071156,1497.1889999999999,0.6486773508399305,0.5624758659852358,0.7380726698262242,0.584485227124821,6-2014,0.0,,0.0,
34,0.9065423425411655,0.6804237824161921,0.8438561035467329,0.8682027649769586,1495.2024193548389,0.6773459327222768,1639.1222580645162,0.7011473132813035,0.6464435529666063,0.8395658156245221,0.6206832848391715,7-2014,0.0,,1639.1222580645162,7-2014
35,0.8241837397775897,0.7566808981657178,0.8796787118505781,0.8248847926267282,1525.9890322580645,0.7018042107647844,1585.312258064516,0.5891659244218276,0.7063893315748018,0.8241247515670386,0.665652697828889,8-2014,1585.312258064516,8-2014,0.0,
36,0.8110746864310149,0.7751552287581699,0.9106985898288329,0.8857142857142857,1593.165,0.7551718385051719,1589.6009999999999,0.6707150672588015,0.7578364565587735,0.8620221169036334,0.8096446700507615,9-2014,0.0,,0.0,
37,0.7811543539578707,0.7833333333333333,0.9343730411340286,0.9578947368421055,1814.016842105263,0.9306265329657144,1652.4984210526316,0.744286135303503,0.9141038285663051,0.883986031429284,0.9072833391561685,10-2014,0.0,,0.0,
