date,year,gold,silver,platinum,coal_monthly,n_gas,oil,euro,gb_pound,dowjones_industrial,dowjones_transport,nasdaq,snp,southern_copper,rio_tinto,royal_gold,newmont,agnico_mines
1997-11-19,1997,303.8,5.23,1.18,37.15,2.86,19.8,1.14,1.69,7724.7,3092.8,1039.12,944.59,2.48,12.38,6.75,30.5,5.62
1997-11-20,1997,302.6,5.25,1.12,37.15,2.71,19.16,1.14,1.69,7826.6,3171.2,1062.49,958.98,2.44,12.78,6.38,31.5,5.31
1997-11-21,1997,304.7,5.45,1.2,37.15,2.76,19.76,1.14,1.69,7881.07,3184.4,1056.59,963.09,2.31,13.06,6.38,31.94,5.56
1997-11-24,1997,302.7,5.4,1.19,37.15,2.58,19.83,1.14,1.69,7767.9,3145.91,1030.22,946.67,2.41,12.78,6.38,31.0,5.12
1997-11-25,1997,300.1,5.25,1.17,37.15,2.66,19.73,1.13,1.68,7809.0,3158.0,1038.06,950.82,2.34,12.56,6.25,30.81,4.75
1997-11-26,1997,296.5,5.26,1.19,37.15,2.58,19.15,1.12,1.67,7794.8,3183.3,1044.24,951.64,2.36,12.38,6.0,30.19,4.56
1997-11-27,1997,295.75,5.26,1.125,37.15,2.6433333333333335,18.986666666666665,1.12,1.67,7808.950000000001,3191.65,1047.375,953.52,2.325,12.315000000000001,5.875,30.095,4.654999999999999
1997-11-28,1997,296.8,5.3,1.06,37.15,2.7066666666666666,18.823333333333334,1.12,1.69,7823.1,3200.0,1050.51,955.4,2.29,12.25,5.75,30.0,4.75
1997-12-01,1997,293.6,5.3,1.11,31.4,2.77,18.66,1.12,1.68,8013.1,3281.79,1079.23,974.77,2.33,12.28,6.0,30.38,4.69
1997-12-02,1997,293.6,5.33,1.14,31.4,2.72,18.76,1.11,1.68,8018.8,3288.3,1052.07,971.68,2.31,12.53,5.62,30.62,4.81
1997-12-03,1997,292.1,5.31,1.16,31.4,2.61,18.8,1.12,1.68,8032.0,3290.6,1061.62,976.77,2.31,12.66,5.5,29.31,4.75
1997-12-04,1997,286.0,5.28,1.16,31.4,2.46,18.6,1.12,1.67,8050.2,3305.6,1052.76,973.1,2.33,12.7,5.25,27.75,4.5
1997-12-05,1997,288.0,5.4,1.16,31.4,2.45,18.71,1.11,1.66,8149.1,3315.9,1070.27,983.79,2.33,12.72,4.88,28.5,4.94
1997-12-08,1997,287.6,5.4,1.16,31.4,2.42,18.84,1.11,1.65,8110.8,3352.4,1082.92,982.37,2.33,13.0,5.0,27.94,4.56
1997-12-09,1997,282.5,5.46,1.12,31.4,2.53,18.67,1.1,1.65,8049.7,3340.5,1050.67,975.78,2.28,13.16,4.88,27.0,4.88
1997-12-10,1997,286.4,5.88,1.19,31.4,2.35,18.14,1.11,1.65,7978.8,3334.9,1033.21,969.79,2.31,13.0,4.62,27.88,5.38
1997-12-11,1997,283.8,5.8,1.09,31.4,2.34,18.15,1.12,1.66,7849.0,3243.7,1001.88,954.94,2.3,12.69,4.75,27.0,5.19
1997-12-12,1997,282.6,5.88,1.09,31.4,2.36,18.21,1.11,1.65,7838.3,3236.8,978.49,953.39,2.2,12.03,4.88,27.44,5.0
1997-12-15,1997,284.1,5.91,1.08,31.4,2.31,18.17,1.11,1.63,7922.6,3272.4,984.38,963.39,2.18,12.02,4.88,27.5,5.06
1997-12-16,1997,283.3,5.97,1.08,31.4,2.41,18.17,1.11,1.64,7976.3,3255.4,997.31,968.04,2.12,12.34,4.62,27.5,4.94
1997-12-17,1997,288.9,5.97,1.16,31.4,2.44,18.19,1.11,1.65,7957.4,3235.2,983.63,965.54,2.15,12.48,4.69,29.94,5.62
1997-12-18,1997,287.1,6.05,1.12,31.4,2.41,18.52,1.11,1.66,7846.5,3173.8,966.77,955.3,2.14,12.69,4.75,28.81,5.38
1997-12-19,1997,288.8,6.05,1.11,31.4,2.47,18.39,1.11,1.67,7756.3,3143.2,969.9,946.78,2.17,11.84,4.75,28.5,5.5
1997-12-22,1997,290.8,6.02,1.09,31.4,2.37,18.32,1.11,1.66,7819.3,3149.4,975.67,953.7,2.19,12.0,4.0,28.81,5.38
1997-12-23,1997,293.8,6.24,1.11,31.4,2.22,18.33,1.11,1.67,7691.8,3124.4,949.57,939.13,2.21,12.28,4.75,29.69,5.38
1997-12-24,1997,296.2,6.38,1.11,31.4,2.25,18.35,1.12,1.67,7660.13,3101.9,938.99,932.7,2.23,12.31,4.88,29.94,5.75
1997-12-25,1997,296.25,6.38,1.1,31.4,2.25,18.275,1.12,1.67,7669.715,3101.8,946.53,934.58,2.2649999999999997,12.295,4.91,29.75,5.720000000000001
1997-12-26,1997,294.6,6.36,1.09,31.4,2.25,18.2,1.12,1.68,7679.3,3101.7,954.07,936.46,2.3,12.28,4.94,29.56,5.69
1997-12-29,1997,290.8,6.33,1.11,31.4,2.31,17.62,1.11,1.67,7792.4,3116.0,978.53,953.35,2.23,12.47,4.5,28.62,5.44
1997-12-30,1997,290.3,6.16,1.19,31.4,2.24,17.6,1.11,1.66,7916.0,3216.2,998.46,970.84,2.2,12.48,4.75,29.88,5.38
1997-12-31,1997,288.8,5.99,1.19,31.4,2.26,17.64,1.1,1.65,7908.3,3256.5,990.83,970.43,2.23,12.94,4.75,29.38,5.38
1998-01-02,1998,288.0,5.96,1.19,31.4,2.15,17.43,1.1,1.64,7965.0,3240.6,1008.23,975.04,2.31,12.86,4.75,30.0,5.44
1998-01-05,1998,281.6,5.92,1.19,31.4,2.21,16.89,1.08,1.63,7979.0,3259.2,1017.42,977.07,2.3,12.81,4.38,28.56,5.31
1998-01-06,1998,281.2,6.09,1.19,31.4,2.18,16.91,1.08,1.62,7906.25,3278.0,1006.29,966.58,2.21,12.78,4.25,28.81,5.19
1998-01-07,1998,283.6,6.03,1.16,31.4,2.14,16.82,1.08,1.63,7902.3,3331.5,991.19,964.0,2.14,12.34,4.75,28.38,5.25
1998-01-08,1998,280.7,5.79,1.09,31.4,2.05,16.97,1.08,1.61,7802.6,3290.6,994.55,956.05,2.16,11.95,4.38,26.69,5.12
1998-01-09,1998,278.4,5.66,1.08,31.4,2.05,16.63,1.08,1.61,7580.4,3185.7,956.19,927.69,2.16,11.75,4.5,25.31,4.88
1998-01-12,1998,277.9,5.5,1.08,31.4,2.0,16.47,1.08,1.62,7647.2,3233.0,971.17,939.21,2.1,11.94,4.75,23.88,4.81
1998-01-13,1998,282.5,5.71,0.89,31.4,2.01,16.43,1.09,1.63,7732.1,3256.0,995.05,952.12,2.11,11.56,5.0,25.25,5.31
1998-01-14,1998,281.7,5.71,0.97,31.4,2.02,16.45,1.08,1.63,7784.7,3229.4,996.37,957.94,2.08,11.88,4.75,24.94,5.38
1998-01-15,1998,285.3,5.87,1.03,31.4,2.09,16.34,1.08,1.63,7691.8,3228.9,995.58,950.73,2.08,12.06,4.75,26.0,5.75
1998-01-16,1998,289.9,5.83,1.09,31.4,2.18,16.51,1.08,1.63,7753.5,3289.6,1005.87,961.51,2.15,12.28,4.75,27.06,6.0
1998-01-19,1998,287.3,5.75,1.1,31.4,2.1500000000000004,16.465000000000003,1.08,1.64,7813.3,3328.05,1016.375,970.0550000000001,2.16,12.469999999999999,4.75,26.78,5.9399999999999995
1998-01-20,1998,290.2,5.73,1.11,31.4,2.12,16.42,1.08,1.63,7873.1,3366.5,1026.88,978.6,2.17,12.66,4.75,26.5,5.88
1998-01-21,1998,292.3,5.85,1.08,31.4,2.08,16.36,1.08,1.63,7794.4,3337.6,1026.52,970.81,2.12,13.0,4.88,27.19,5.88
1998-01-22,1998,290.2,5.77,1.08,31.4,2.16,16.04,1.09,1.65,7730.9,3310.1,1020.63,963.04,2.11,12.89,4.62,26.69,5.5
1998-01-23,1998,299.25,5.93,1.12,31.4,2.12,15.74,1.11,1.67,7700.7,3244.4,1024.47,957.59,2.19,12.98,5.38,30.06,6.38
1998-01-26,1998,296.8,5.99,1.12,31.4,2.06,16.82,1.1,1.66,7712.94,3239.16,1016.4,956.95,2.2,13.09,5.25,28.56,6.38
1998-01-27,1998,300.5,6.17,1.11,31.4,2.04,16.98,1.1,1.64,7815.08,3224.7,1035.76,969.02,2.17,12.88,5.34,29.06,6.56
1998-01-28,1998,304.75,6.11,1.2,31.4,2.0,17.31,1.09,1.64,7915.47,3312.59,1063.2,977.46,2.12,12.77,5.38,29.38,6.56
1998-01-29,1998,302.6,6.09,1.2,31.4,2.1,17.82,1.08,1.64,7973.02,3340.22,1069.0,985.49,2.12,12.91,5.5,28.06,6.31
1998-01-30,1998,302.2,6.22,1.23,31.4,2.26,17.21,1.08,1.63,7906.5,3309.07,1071.13,980.28,2.19,13.06,5.44,28.5,6.44
1998-02-02,1998,302.7,6.34,1.23,31.4,2.33,17.05,1.09,1.64,8107.78,3361.73,1100.99,1001.27,2.16,13.53,5.12,28.0,6.25
1998-02-03,1998,295.1,6.76,1.23,31.4,2.31,16.5,1.09,1.65,8160.35,3386.21,1111.26,1006.0,2.16,13.97,4.88,26.38,5.69
1998-02-04,1998,299.1,7.28,1.12,31.4,2.3,16.37,1.1,1.66,8129.71,3394.93,1124.44,1006.9,2.17,13.62,5.5,27.75,6.19
1998-02-05,1998,298.4,7.59,1.17,31.4,2.38,16.58,1.1,1.65,8117.25,3387.14,1114.86,1003.54,2.19,13.88,5.31,27.75,6.19
1998-02-06,1998,297.9,7.24,1.23,31.4,2.36,16.7,1.09,1.64,8189.49,3416.25,1134.32,1012.46,2.22,13.83,5.5,28.25,6.19
1998-02-09,1998,299.5,7.0,1.27,31.4,2.22,16.63,1.08,1.63,8180.52,3463.17,1122.72,1010.74,2.27,13.77,5.38,28.94,6.19
1998-02-10,1998,300.2,7.17,1.28,31.4,2.27,16.43,1.09,1.63,8295.61,3485.6,1139.79,1019.01,2.25,13.56,5.5,28.19,6.19
1998-02-11,1998,299.8,7.07,1.28,31.4,2.24,16.15,1.09,1.63,8314.55,3494.5,1138.81,1020.01,2.24,13.25,5.25,27.75,5.94
1998-02-12,1998,298.5,7.05,1.23,31.4,2.29,15.96,1.09,1.64,8369.6,3575.07,1144.8,1024.14,2.21,13.72,5.12,28.5,5.75
1998-02-13,1998,299.6,7.13,1.23,31.4,2.21,16.02,1.09,1.64,8370.1,3543.27,1136.69,1020.09,2.22,13.44,5.25,28.88,5.69
1998-02-16,1998,298.0,7.05,1.255,31.4,2.19,15.84,1.09,1.64,8384.3,3552.77,1132.66,1021.425,2.1950000000000003,13.36,5.1850000000000005,28.22,5.75
1998-02-17,1998,297.75,6.8,1.28,31.4,2.17,15.66,1.08,1.63,8398.5,3562.27,1128.63,1022.76,2.17,13.28,5.12,27.56,5.81
1998-02-18,1998,297.3,6.59,1.28,31.4,2.24,16.25,1.09,1.64,8451.06,3534.54,1140.74,1032.08,2.18,13.41,5.25,27.5,5.75
1998-02-19,1998,298.7,6.82,1.21,31.4,2.22,16.16,1.09,1.64,8375.58,3503.55,1156.75,1028.28,2.17,13.34,5.25,27.25,5.88
1998-02-20,1998,297.0,6.54,1.19,31.4,2.2,16.15,1.09,1.64,8413.94,3452.42,1159.73,1034.21,2.17,13.41,5.12,26.94,5.81
1998-02-23,1998,293.2,6.46,1.19,31.4,2.18,15.37,1.1,1.65,8410.2,3497.51,1185.53,1038.14,2.16,13.31,5.12,27.0,5.69
1998-02-24,1998,291.2,6.35,1.16,31.4,2.22,15.31,1.1,1.65,8370.1,3418.84,1172.4,1030.56,2.18,13.25,5.12,26.62,5.62
1998-02-25,1998,291.8,6.03,1.22,31.4,2.29,15.45,1.09,1.64,8457.78,3435.34,1200.39,1042.9,2.19,13.34,5.25,27.06,5.75
1998-02-26,1998,294.4,6.19,1.22,31.4,2.28,15.35,1.09,1.64,8490.67,3401.14,1206.97,1048.67,2.18,13.64,5.19,28.69,5.94
1998-02-27,1998,298.9,6.48,1.28,31.4,2.32,15.44,1.09,1.64,8545.72,3364.92,1194.13,1049.34,2.2,13.81,5.25,29.0,6.31
1998-03-02,1998,299.5,6.59,1.28,31.4,2.29,15.34,1.09,1.65,8550.45,3374.13,1177.59,1047.7,2.2,14.28,5.38,28.75,6.25
1998-03-03,1998,297.6,6.39,1.25,31.4,2.24,15.27,1.09,1.65,8584.83,3445.32,1175.72,1052.02,2.21,14.25,5.0,28.19,6.0
1998-03-04,1998,295.8,6.35,1.25,31.4,2.23,15.32,1.09,1.65,8539.24,3437.26,1179.87,1047.33,2.28,13.84,5.12,27.94,6.06
1998-03-05,1998,293.2,6.37,1.23,31.4,2.14,15.33,1.08,1.63,8444.33,3397.16,1126.83,1035.05,2.27,13.88,5.0,27.12,5.94
1998-03-06,1998,294.2,6.07,1.22,31.4,2.13,14.91,1.08,1.64,8569.39,3465.85,1163.11,1055.69,2.31,13.77,5.0,27.75,6.0
1998-03-09,1998,294.25,6.07,1.19,31.4,2.17,14.33,1.08,1.64,8567.14,3489.07,1128.37,1052.31,2.35,13.97,5.0,28.69,6.0
1998-03-10,1998,295.8,6.3,1.23,31.4,2.14,14.26,1.08,1.64,8643.12,3527.06,1148.61,1064.25,2.35,13.92,5.06,28.81,5.94
1998-03-11,1998,294.35,6.14,1.23,31.4,2.17,14.18,1.08,1.65,8675.75,3525.33,1153.87,1068.47,2.34,13.94,5.25,27.88,5.81
1998-03-12,1998,294.3,6.2,1.19,31.4,2.13,14.2,1.08,1.66,8659.56,3542.31,1163.27,1069.92,2.35,13.97,5.12,27.94,5.81
1998-03-13,1998,295.1,6.14,1.24,31.4,2.14,14.06,1.09,1.67,8602.52,3548.45,1169.29,1068.61,2.42,13.83,5.12,27.94,6.0
1998-03-16,1998,294.3,6.1,1.33,31.4,2.15,13.28,1.09,1.67,8718.85,3623.57,1180.17,1079.27,2.44,13.86,5.0,27.81,5.88
1998-03-17,1998,291.7,5.86,1.34,31.4,2.15,13.21,1.09,1.67,8749.99,3636.81,1167.89,1080.45,2.46,14.0,5.12,27.0,5.5
1998-03-18,1998,290.9,5.97,1.31,31.4,2.24,14.34,1.09,1.67,8775.4,3603.81,1177.01,1085.52,2.5,13.69,5.0,27.0,5.38
1998-03-19,1998,291.3,5.97,1.34,31.4,2.3,14.31,1.08,1.67,8803.05,3613.4,1186.16,1089.74,2.49,13.69,5.25,27.19,5.44
1998-03-20,1998,291.5,6.21,1.33,31.4,2.34,14.32,1.08,1.67,8906.43,3586.92,1169.43,1099.16,2.48,13.5,5.0,26.5,5.38
1998-03-23,1998,298.7,6.45,1.33,31.4,2.35,16.51,1.09,1.68,8816.25,3506.94,1179.18,1095.55,2.43,13.5,5.19,28.88,5.62
1998-03-24,1998,299.4,6.41,1.39,31.4,2.33,15.92,1.09,1.67,8904.44,3530.88,1197.81,1105.65,2.46,13.7,5.12,28.56,5.56
1998-03-25,1998,298.8,6.24,1.36,31.4,2.37,16.48,1.09,1.68,8872.8,3517.52,1214.82,1101.93,2.44,13.5,5.75,28.62,5.31
1998-03-26,1998,301.3,6.33,1.42,31.4,2.34,16.83,1.09,1.69,8846.89,3512.51,1217.94,1100.8,2.43,13.72,6.0,30.88,5.69
1998-03-27,1998,302.6,6.35,1.42,31.4,2.3,16.76,1.09,1.68,8796.08,3512.32,1211.64,1095.44,2.52,13.94,5.69,31.12,5.69
1998-03-30,1998,301.4,6.34,1.38,31.4,2.41,16.21,1.08,1.68,8782.12,3499.33,1206.64,1093.6,2.48,13.94,5.69,30.62,5.69
1998-03-31,1998,300.7,6.5,1.38,31.4,2.52,15.61,1.08,1.67,8799.81,3577.09,1220.66,1101.75,2.52,13.73,5.66,30.56,5.62
1998-04-01,1998,299.5,6.36,1.38,31.18,2.5,15.54,1.07,1.67,8868.32,3578.57,1228.41,1108.15,2.5,13.94,5.69,30.0,5.62
1998-04-02,1998,302.0,6.56,1.34,31.18,2.56,15.74,1.07,1.66,8986.64,3620.88,1230.18,1120.01,2.48,13.69,5.88,30.38,5.94
1998-04-03,1998,308.0,6.6,1.39,31.18,2.56,15.99,1.07,1.66,8983.41,3639.26,1233.66,1122.7,2.49,13.62,6.25,32.88,6.56
1998-04-06,1998,308.8,6.4,1.39,31.18,2.54,15.45,1.08,1.67,9033.23,3601.03,1205.37,1121.38,2.44,13.5,6.25,33.06,6.94
1998-04-07,1998,309.5,6.41,1.42,31.18,2.67,15.22,1.08,1.67,8956.5,3535.15,1182.13,1109.55,2.44,13.31,6.0,31.94,6.75
1998-04-08,1998,309.1,6.43,1.36,31.18,2.69,15.55,1.09,1.68,8891.48,3506.57,1191.06,1101.65,2.45,13.44,6.25,33.12,7.0
1998-04-09,1998,308.2,6.43,1.48,31.18,2.66,15.56,1.09,1.67,8994.86,3537.19,1196.9,1110.67,2.49,13.58,6.25,32.5,6.75
1998-04-10,1998,310.25,6.45,1.5,31.18,2.5700000000000003,15.440000000000001,1.09,1.67,9003.58,3547.86,1199.935,1110.18,2.505,13.48,6.3149999999999995,32.405,6.779999999999999
1998-04-13,1998,310.7,6.39,1.52,31.18,2.48,15.32,1.09,1.67,9012.3,3558.53,1202.97,1109.69,2.52,13.38,6.38,32.31,6.81
1998-04-14,1998,308.0,6.3,1.48,31.18,2.5,15.12,1.1,1.68,9110.2,3590.08,1213.12,1115.75,2.58,13.56,6.31,31.94,6.62
1998-04-15,1998,307.0,6.32,1.45,31.18,2.52,15.46,1.1,1.68,9162.27,3661.9,1231.36,1119.32,2.73,13.7,6.5,32.12,6.75
1998-04-16,1998,307.9,6.3,1.5,31.18,2.48,15.9,1.1,1.69,9076.57,3686.02,1227.53,1108.17,2.71,14.03,6.5,32.44,6.94
1998-04-17,1998,307.5,6.26,1.5,31.18,2.48,15.46,1.1,1.68,9167.5,3685.28,1231.25,1122.72,2.78,14.31,6.5,31.75,6.75
1998-04-20,1998,307.7,6.24,1.47,31.18,2.47,15.41,1.1,1.68,9141.84,3660.23,1253.11,1123.65,2.74,14.31,6.0,31.38,6.69
1998-04-21,1998,310.5,6.32,1.53,31.18,2.56,15.45,1.1,1.67,9184.94,3684.91,1269.7,1126.67,2.69,14.17,6.5,33.38,7.06
1998-04-22,1998,313.0,6.29,1.61,31.18,2.4,15.54,1.1,1.67,9176.72,3681.57,1290.9,1130.54,2.72,14.38,6.94,34.62,7.88
1998-04-23,1998,313.8,6.29,1.61,31.18,2.33,15.19,1.1,1.67,9143.33,3631.09,1258.58,1119.58,2.62,14.69,7.0,34.25,7.69
1998-04-24,1998,312.4,6.25,1.61,31.18,2.34,15.09,1.1,1.67,9064.62,3558.02,1250.14,1107.9,2.49,14.75,6.75,33.31,7.19
1998-04-27,1998,309.4,6.17,1.61,31.18,2.27,15.32,1.11,1.67,8917.64,3448.67,1220.05,1086.54,2.46,14.5,6.38,31.69,6.94
1998-04-28,1998,307.7,6.17,1.59,31.18,2.26,15.74,1.1,1.67,8898.96,3448.67,1222.5,1085.11,2.45,14.47,6.62,32.0,6.94
1998-04-29,1998,310.0,6.22,1.58,31.18,2.3,15.32,1.1,1.67,8951.52,3492.84,1239.56,1094.62,2.46,14.66,6.38,32.88,7.19
1998-04-30,1998,306.4,6.22,1.59,31.18,2.22,15.39,1.1,1.67,9063.37,3509.17,1248.12,1111.75,2.53,14.56,6.5,32.19,7.25
1998-05-01,1998,302.0,6.13,1.55,30.28,2.2,16.13,1.11,1.67,9147.07,3485.42,1251.53,1121.0,2.51,14.66,6.38,31.0,7.19
1998-05-04,1998,304.1,6.24,1.53,30.28,2.26,15.95,1.11,1.67,9192.66,3501.19,1255.82,1122.07,2.49,14.66,6.25,31.12,7.19
1998-05-05,1998,303.1,6.11,1.5,30.28,2.22,15.47,1.12,1.66,9147.57,3449.04,1247.27,1115.5,2.48,14.61,6.62,31.31,7.19
1998-05-06,1998,300.5,5.91,1.45,30.28,2.13,15.37,1.12,1.66,9054.65,3380.75,1242.25,1104.92,2.49,14.59,6.12,31.0,7.06
1998-05-07,1998,298.35,5.96,1.42,30.28,2.16,15.24,1.11,1.65,8976.68,3384.84,1222.68,1095.14,2.42,14.38,6.0,30.0,6.94
1998-05-08,1998,299.6,5.96,1.41,30.28,2.17,15.13,1.11,1.64,9055.15,3424.92,1254.03,1108.14,2.34,14.36,6.12,30.31,7.06
1998-05-11,1998,300.1,5.73,1.41,30.28,2.22,15.17,1.11,1.63,9091.52,3408.96,1237.66,1106.64,2.42,14.5,5.88,30.5,7.0
1998-05-12,1998,297.7,5.59,1.41,30.28,2.26,15.24,1.11,1.63,9161.77,3395.04,1256.41,1115.79,2.41,14.5,5.25,29.44,6.81
1998-05-13,1998,298.2,5.53,1.52,30.28,2.2,14.95,1.11,1.63,9211.84,3442.92,1263.08,1118.86,2.44,14.27,5.62,29.31,6.81
1998-05-14,1998,298.9,5.59,1.53,30.28,2.2,15.08,1.11,1.63,9172.23,3459.81,1266.15,1117.37,2.41,13.92,5.5,29.81,6.81
1998-05-15,1998,301.0,5.57,1.55,30.28,2.18,14.47,1.1,1.63,9096.0,3424.73,1249.49,1108.73,2.44,13.78,5.62,29.94,7.06
1998-05-18,1998,299.3,5.28,1.52,30.28,2.13,14.07,1.1,1.62,9050.91,3367.21,1242.5,1105.82,2.43,13.47,5.25,28.62,6.88
1998-05-19,1998,298.4,5.16,1.47,30.28,2.15,12.96,1.1,1.62,9054.65,3359.78,1255.59,1109.52,2.39,13.47,5.44,28.06,6.88
1998-05-20,1998,299.4,5.23,1.44,30.28,2.17,14.18,1.11,1.63,9171.48,3398.75,1237.75,1119.06,2.36,13.42,5.25,27.81,6.75
1998-05-21,1998,300.9,5.32,1.48,30.28,2.07,14.63,1.12,1.63,9132.37,3381.87,1223.7,1114.64,2.36,13.5,5.25,27.75,6.75
1998-05-22,1998,299.6,5.27,1.48,30.28,2.09,14.78,1.12,1.63,9114.44,3390.59,1214.13,1110.47,2.4,13.31,5.62,27.44,6.69
1998-05-25,1998,299.5,5.27,1.5150000000000001,30.28,2.0949999999999998,14.8,1.11,1.63,9039.085,3378.1549999999997,1207.125,1102.245,2.4,13.345,5.4350000000000005,26.91,6.69
